datetime,open,close,high,low,volume,money
2013-01-14,2551.81,2577.72,2583.63,2473.7,55410357400.0,560266855102.0
2013-01-23,2579.13,2607.46,2620.03,2539.67,60565189200.0,606450767236.0
2013-02-01,2606.43,2743.32,2744.32,2564.21,66257415600.0,683121746894.0
2013-02-19,2753.69,2685.61,2791.3,2674.34,65132171300.0,680154741969.0
2013-02-28,2686.09,2673.33,2703.1,2564.67,51419655800.0,538991064973.0
2013-03-11,2671.84,2592.37,2680.85,2528.69,57391231900.0,592347405775.0
2013-03-20,2590.39,2610.17,2619.51,2491.85,46239341800.0,470324094905.0
2013-03-29,2611.58,2495.08,2641.61,2482.49,44231131900.0,446269996368.0
2013-04-11,2486.43,2477.88,2524.46,2429.5,34477586200.0,353154035021.0
2013-04-22,2476.32,2530.67,2542.45,2416.62,36732325500.0,371117814730.0
2013-05-06,2532.2,2525.98,2533.86,2423.08,40115116200.0,402244292681.0
2013-05-15,2519.36,2506.93,2562.01,2479.87,37626368100.0,393767332467.0
2013-05-24,2501.12,2597.23,2630.07,2487.76,53024763600.0,552742303544.0
2013-06-04,2593.52,2565.67,2661.23,2556.06,48643402000.0,498509867587.0
2013-06-18,2565.33,2418.74,2570.03,2375.2,38388530600.0,381725570388.0
2013-06-27,2408.28,2160.74,2408.28,2023.17,51706839800.0,449685696249.0
2013-07-08,2149.03,2163.62,2252.03,2139.37,45403783900.0,410052478023.0
2013-07-17,2160.7,2282.84,2351.22,2149.79,52620777700.0,482125199390.0
2013-07-26,2272.95,2224.01,2282.43,2159.81,44008052100.0,411718936680.0
2013-08-06,2205.08,2293.64,2302.48,2162.98,41070553900.0,387276742629.0
2013-08-15,2292.38,2321.58,2386.6,2258.33,50489797500.0,480901591592.0
2013-08-26,2314.26,2335.62,2423.08,2251.92,51562279600.0,473255067171.0
2013-09-04,2332.8,2350.7,2360.66,2297.45,54777645400.0,494705678869.0
2013-09-13,2350.93,2488.9,2527.38,2335.93,86390032900.0,748691456111.0
2013-09-26,2501.08,2384.44,2503.69,2382.53,63062057600.0,610493933986.0
2013-10-14,2382.22,2472.54,2483.13,2379.86,57034791900.0,568121099730.0
2013-10-23,2475.32,2418.49,2479.13,2407.78,57682561300.0,545035290978.0
2013-11-01,2412.24,2384.96,2422.94,2327.9,54921584000.0,483497962501.0
2013-11-12,2397.21,2340.0,2404.9,2295.0,38469686900.0,357360765891.0
2013-11-21,2325.36,2409.99,2435.43,2279.01,55223236500.0,526672390878.0
2013-12-02,2415.29,2418.79,2464.86,2380.41,54774463600.0,519624112039.0
2013-12-11,2410.69,2412.76,2486.64,2400.74,51311046000.0,486352423483.0
2013-12-20,2406.77,2278.14,2423.31,2278.1,36802957400.0,349165210409.0
2013-12-31,2283.8,2330.03,2333.07,2259.57,34511687700.0,333775407517.0
2014-01-10,2323.43,2204.85,2325.99,2200.22,37653563000.0,361960219048.0
2014-01-21,2207.0,2187.41,2227.26,2156.46,33657357200.0,312523181471.0
2014-01-30,2190.43,2202.45,2257.36,2187.53,40562339300.0,385270609992.0
2014-02-17,2187.34,2311.65,2315.58,2177.12,56047947300.0,535713504013.0
2014-02-26,2310.31,2163.41,2331.7,2137.08,62965761700.0,574675251947.0
2014-03-07,2170.81,2168.36,2194.22,2133.55,51660487600.0,461762857590.0
2014-03-18,2149.68,2138.13,2152.46,2088.73,43471473900.0,387005506191.0
2014-03-27,2131.28,2155.71,2191.49,2077.76,55188079900.0,458840328454.0
2014-04-08,2154.51,2237.32,2243.97,2134.42,45615025800.0,395978954621.0
2014-04-17,2239.79,2224.8,2290.74,2221.15,50201333600.0,464670218297.0
2014-04-28,2215.88,2134.97,2231.71,2132.7,37768398100.0,339126718907.0
2014-05-09,2134.41,2133.91,2173.62,2120.59,33309120400.0,282723813830.0
2014-05-20,2150.31,2115.77,2185.05,2105.71,36607980300.0,298369314318.0
2014-05-29,2106.76,2155.16,2178.09,2096.51,29321752600.0,260761649092.0
2014-06-10,2156.38,2161.27,2168.99,2117.31,28975851000.0,258491696094.0
2014-06-19,2156.15,2126.91,2196.34,2119.5,36069951900.0,318045750569.0
2014-06-30,2124.96,2165.12,2168.22,2120.81,31278168300.0,281531043898.0
2014-07-09,2169.2,2148.71,2186.2,2148.26,39255837600.0,359886308139.0
2014-07-18,2146.6,2164.14,2183.25,2134.8,46156842100.0,388495078468.0
2014-07-29,2164.22,2331.37,2342.77,2158.95,74947606100.0,623128640360.0
2014-08-07,2324.69,2327.46,2380.77,2316.06,82197457300.0,692767678344.0
2014-08-18,2329.18,2374.56,2379.8,2319.29,67668285500.0,589027165318.0
2014-08-27,2378.89,2327.59,2379.47,2317.18,66654641700.0,602718292005.0
2014-09-05,2328.06,2449.26,2450.63,2309.64,70001794700.0,660117178028.0
2014-09-17,2452.23,2401.33,2461.47,2379.09,90377159200.0,786894373986.0
2014-09-26,2396.38,2437.2,2462.67,2374.11,78568907900.0,672508049270.0
2014-10-14,2443.91,2446.56,2488.11,2430.55,90570485400.0,791689169859.0
2014-10-23,2444.54,2395.94,2480.3,2392.53,80655381800.0,695626445013.0
2014-11-03,2397.85,2512.55,2524.17,2361.68,104354442600.0,828798142846.0
2014-11-12,2511.04,2594.32,2602.37,2482.98,150214854700.0,1208431108486.0
2014-11-21,2597.39,2583.45,2614.09,2522.84,106561000800.0,965294755137.0
2014-12-02,2614.16,2923.94,2944.51,2602.94,211415503500.0,1982627193689.0
2014-12-11,2936.12,3183.01,3387.83,2912.25,332729818300.0,3541264684557.0
2014-12-22,3182.92,3394.48,3455.21,3143.3,271450724400.0,3006698560452.0
2014-12-31,3358.8,3533.7,3542.34,3188.49,248078302100.0,2788994109604.0
2015-01-13,3566.09,3514.04,3689.75,3461.32,229105837200.0,2788207494957.0
2015-01-22,3522.91,3567.61,3662.16,3325.68,195063677800.0,2418695080593.0
2015-02-02,3582.09,3353.96,3627.81,3347.09,162710948400.0,2021875161208.0
2015-02-11,3388.6,3434.12,3487.95,3285.93,130352192000.0,1623957598247.0
2015-02-27,3435.36,3572.84,3594.81,3405.63,130579554500.0,1639029095143.0
2015-03-10,3603.45,3520.61,3608.69,3417.49,153694152200.0,1954059740878.0
2015-03-19,3524.57,3839.74,3859.13,3512.22,215527883200.0,2616392268263.0
2015-03-30,3852.49,4088.18,4101.65,3832.42,271529703600.0,3564911204531.0
2015-04-09,4138.89,4262.14,4332.17,4037.77,273969201200.0,3881675613519.0
2015-04-20,4249.38,4521.92,4671.17,4231.2,335077494900.0,4544764107053.0
